feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,target
3.0272865,0.0,5.6753483,5.0,-3.0247033,-14.4968,11.182979,7.131609,-7.19372,8.0,1.0
-0.02993987,4.0,-0.14926149,7.0,0.029385459,-0.37869206,-0.012488682,-0.24736725,0.36193052,5.0,0.0
0.06297708,4.0,-0.2178269,7.0,-0.064632446,0.89400005,-0.10557254,0.06351361,-0.1993316,4.0,0.0
-0.084094904,4.0,-0.15254112,7.0,0.085263215,0.97349083,-0.52274626,0.2954928,-0.22271547,4.0,0.0
0.20783341,2.0,1.0756869,8.0,-0.2083814,5.480798,0.18112873,-3.9768414,-0.8962006,5.0,0.0
-0.12128728,4.0,2.2369273,8.0,0.12623811,-3.735808,0.21493347,-1.3033767,1.3814017,5.0,0.0
-0.6833889,4.0,-2.572359,7.0,0.6855564,2.8124897,-0.27684247,-0.4311229,0.030715197,5.0,0.0
-0.34600842,4.0,0.7258249,7.0,0.3466391,0.10028925,-0.34883416,-0.8832546,-0.6550444,5.0,0.0
0.48048857,4.0,0.8253162,7.0,-0.4799865,-0.10950608,0.27447432,-0.46390265,-0.41691926,5.0,0.0
-0.2522245,4.0,-0.16130026,7.0,0.25223514,0.9978968,0.93590164,-0.91976476,-0.5345811,4.0,0.0
-0.28289217,4.0,-0.9157274,7.0,0.28236124,2.3035307,0.21657002,0.16184106,-0.92065215,4.0,0.0
-0.48124912,4.0,-0.7845214,7.0,0.48162052,-0.6215256,-0.6884516,0.25947446,1.1789243,4.0,0.0
-0.28189954,4.0,-0.9814005,7.0,0.28336993,2.2443523,0.64414287,-0.28042528,-0.8368868,4.0,0.0
0.4007116,4.0,0.15973508,7.0,-0.40189406,0.070964076,0.124520235,0.36459875,-0.24072333,4.0,0.0
0.63928646,4.0,-0.37783477,7.0,-0.6408964,-2.2080467,0.47563526,0.8534442,0.26706836,5.0,0.0
0.9095196,4.0,-0.10381576,6.0,-0.91069263,-0.42595038,0.92645335,-1.087748,0.5959229,5.0,0.0
1.2160224,3.0,1.9174256,8.0,-1.2141153,2.2089562,0.99762183,-0.29394603,-2.304883,3.0,0.0
0.3187808,4.0,-0.7896592,7.0,-0.3187096,-1.2861592,0.24703023,-0.7935352,1.3686892,5.0,0.0
0.120127626,5.0,-0.28883612,8.0,-0.12178856,-0.9417119,0.16303292,-0.9919364,1.0074759,4.0,0.0
-0.10435829,4.0,0.115868635,7.0,0.1027204,-0.043793943,-1.3390559,-0.76327175,1.6869049,4.0,0.0
-1.8005065,4.0,1.8747219,6.0,1.8015476,2.0275867,-0.6885834,-2.4161716,0.3592901,4.0,0.0
0.13331713,4.0,-1.085205,7.0,-0.13543451,0.70834297,-0.5288185,0.3531278,-0.085894376,5.0,0.0
0.04052228,4.0,-0.32850537,6.0,-0.042581197,0.9553164,0.16302064,-0.39873633,-0.8899891,5.0,0.0
-0.18108143,4.0,0.5452834,7.0,0.17999983,0.6562582,0.25938627,-0.47115943,-0.8430345,4.0,0.0
-0.43803746,4.0,1.2415093,7.0,0.4388718,-0.50319153,-0.37673232,-0.16723375,-0.17645967,4.0,0.0
1.6730784,7.0,-1.5217844,0.0,-1.6636992,-6.594709,3.640154,2.3245208,5.763095,3.0,2.0
4.7025666,0.0,2.4195879,6.0,-4.721534,-5.784368,9.844862,2.6599333,-3.8451726,5.0,1.0
0.44404817,4.0,2.5636148,7.0,-0.4459631,-2.594012,-0.50727814,-0.0314193,-0.49514174,5.0,0.0
0.37175298,4.0,0.35851774,7.0,-0.36947155,0.9600837,0.2689826,0.3395441,-0.9447521,4.0,0.0
0.15891068,4.0,0.34230494,7.0,-0.15841904,0.37087414,-0.07838504,0.14031325,-0.4035717,4.0,0.0
-0.63414645,4.0,0.18934825,7.0,0.63298756,-0.08151108,-0.45019418,0.4705864,-0.37794474,5.0,0.0
1.1253501,5.0,-3.0514839,6.0,-1.1238978,-1.0899633,-0.85404706,1.2233729,1.3759584,5.0,0.0
-2.4249618,4.0,0.64189166,6.0,2.4288764,0.17950515,-1.4133853,1.1282248,-2.6174552,6.0,1.0
0.738365,4.0,0.6347375,7.0,-0.7391866,-2.0745516,-1.2842964,0.8017823,1.0567851,5.0,0.0
-0.402435,3.0,3.4604132,7.0,0.40391716,-4.176114,0.28381035,0.3886795,-0.7290635,5.0,1.0
0.52033955,6.0,-3.0066862,8.0,-0.5192576,0.92595583,-3.227708,1.632244,-0.30451098,5.0,0.0
0.45787156,4.0,0.39720598,7.0,-0.4577813,-0.46684268,0.2070957,-0.86007285,0.29555458,5.0,0.0
0.13371867,4.0,-0.3616733,6.0,-0.1339755,0.1049603,1.4596297,0.13994399,-0.41409552,5.0,0.0
0.014438831,4.0,-0.03121963,6.0,-0.016635075,-1.2653512,-0.8903433,0.65253377,1.2667373,5.0,0.0
-17.077915,4.0,2.656129,8.0,17.089558,31.885183,-19.212105,-3.9121125,-2.599809,0.0,2.0
-0.322715,4.0,0.24518415,7.0,0.32535172,-1.2030973,0.9024774,1.2000675,-0.6018554,4.0,0.0
0.3304068,4.0,0.49834132,7.0,-0.3296964,0.1058581,0.13598797,-0.6553863,0.3181175,4.0,0.0
-0.07761944,4.0,-0.4755002,7.0,0.07528217,0.5314815,-0.58422387,-0.7522356,0.4730762,5.0,0.0
-1.3735647,4.0,-0.5952033,8.0,1.3707875,-0.8328931,0.50984514,1.0917972,-0.94959706,4.0,1.0
-0.11081015,4.0,-1.2878884,7.0,0.10777984,-0.35104862,-0.21121743,0.3610489,0.89560044,5.0,0.0
1.1746082,3.0,-1.3495125,7.0,-1.1728787,2.1711671,0.14514506,2.3102496,-2.435755,5.0,0.0
0.34377348,4.0,-0.91268075,7.0,-0.34390813,1.7561699,0.25996846,0.2518736,-0.58490026,4.0,0.0
0.08722836,3.0,-0.4868165,8.0,-0.086860895,0.117962435,1.325559,0.4994092,-0.024430282,4.0,0.0
-0.3870333,3.0,0.35013595,6.0,0.38457048,-0.13744906,0.24161616,0.6950518,-0.49402195,5.0,0.0
0.17270754,4.0,0.9037125,7.0,-0.17177705,0.6734052,0.1385263,-0.047607113,-0.9351981,4.0,0.0
0.27699202,4.0,-0.7098426,7.0,-0.27614608,0.7157571,-0.28879738,0.039287355,0.49303415,4.0,0.0
-1.18345,4.0,-1.2950605,7.0,1.1859157,1.3439449,1.6033254,-1.3321027,-0.2822797,5.0,0.0
0.4980085,4.0,-1.9414284,7.0,-0.49606597,0.13162029,0.6397641,0.7554423,-0.14890273,5.0,0.0
0.081313565,4.0,-0.8027578,7.0,-0.07936662,1.3584269,-0.68974435,-0.6757937,-0.46970993,5.0,0.0
0.94254607,3.0,2.0464187,6.0,-0.9418155,-1.048176,-0.21970613,0.7269827,-0.71336156,5.0,0.0
