feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,target
0.3982315,-0.33412796,7.0,-1.2287719,1.0,0.97643024,-0.42984983,0.0,-0.10308806,-0.037218124,2.0
3.7642288,-0.87310433,7.0,0.44682896,2.0,0.984665,-7.0572996,0.0,-0.5023398,-4.1824603,2.0
0.5941365,-1.3717487,7.0,-5.534017,0.0,-0.18755649,4.5258055,0.0,-0.50181353,2.3719513,1.0
-0.87906945,0.58391726,7.0,0.5102896,1.0,-0.5377555,0.66157824,0.0,-0.40660548,0.6209856,2.0
0.7413628,-1.1096393,7.0,-0.25603855,1.0,1.4804022,-0.122455366,0.0,-0.51879895,0.06258133,2.0
-0.55113673,-0.28631392,7.0,0.24537836,2.0,-0.893966,0.95700103,0.0,0.38626143,0.86987674,2.0
0.5691883,0.4209296,7.0,2.7506297,2.0,0.9167487,-0.35154304,0.0,-0.66406596,-0.7210442,2.0
-0.2232176,0.044600897,7.0,1.9382185,2.0,-1.0263478,0.9447872,0.0,0.2675867,-0.8880963,2.0
1.0273015,0.49940503,7.0,-0.051910646,1.0,1.6273336,-2.1057208,0.0,-0.0072009494,-0.88879824,2.0
-0.120173626,-3.6401644,7.0,1.6338198,1.0,-1.7149113,-0.40965226,0.0,0.3221442,3.4539773,2.0
6.8537035,3.7935843,7.0,-12.335965,0.0,2.881232,-3.3747814,0.0,6.0468974,0.69864917,1.0
-312.37088,11.939352,0.0,232.17783,6.0,-341.87918,242.4025,7.0,130.5482,195.27937,2.0
-1.0411943,-0.018592605,7.0,-0.81641245,1.0,-1.0898325,2.3225648,0.0,-0.49718577,1.7469032,1.0
0.03281426,1.2264444,7.0,0.33459193,2.0,0.34696144,-0.8782271,0.0,-0.44091767,-0.26305783,2.0
-1.3610966,0.86394596,7.0,1.8258027,2.0,0.163452,0.3477721,0.0,-0.12447939,-0.5785576,2.0
-1.8454005,-3.7047765,7.0,0.5001447,2.0,-2.3617344,2.760844,0.0,0.8970862,5.103696,2.0
0.05709089,1.5488497,7.0,1.7153851,2.0,-0.7205888,0.76279455,0.0,0.16484836,0.12276121,2.0
0.13864154,0.69630545,7.0,0.55948794,2.0,-0.3293354,-0.45468307,0.0,0.07821262,0.1729448,2.0
0.46395376,-0.5221712,7.0,-2.2062888,2.0,2.2225225,0.26025823,0.0,-1.0544975,0.075972155,1.0
-1.2676347,0.77687603,7.0,-2.1062138,2.0,-2.0837255,0.5755933,0.0,0.01257333,2.902122,1.0
4.354457,-10.850952,7.0,0.2655228,0.0,9.839094,-5.757176,0.0,-0.67296237,0.5760622,2.0
